Movie,IMDB
Parasite,tt6751668
Green Book,tt6966692
The Shape of Water,tt5580390
Moonlight,tt4975722
Spotlight,tt1895587
Birdman,tt2562232
12 Years a Slave,tt2024544
Argo,tt1024648
The Artist,tt1655442
The King's Speech,tt1504320
Encanto,tt2953050
King Richard,tt9620288
Drive My Car,tt14039582
Dune,tt1160419
West Side Story,tt3581652
